SymptomID,Symptom,Code
42,DryCough;Fever;Vomiting;SputumProduction;,049727002011833005123979008386661006300359004422400008404684003248599002
43,Headache;DryCough;Fever;Diarrhea;SputumProduction;,022253000025064002049727002011833005123979008386661006300373008062315008404684003248599002
44,DryCough;Fatigue;SputumProduction;,049727002011833005105721009084229001404684003248599002
45,DryCough;Fever;,049727002011833005123979008386661006
46,Myalgia;DryCough;Fatigue;Fever;SoreThroat;,022253000404640003049727002011833005105721009084229001123979008386661006301365009162397003
47,DryCough;Fever;Dyspnea;SoreThroat;,049727002011833005123979008386661006230145002267036007301365009162397003
48,Headache;Myalgia;DryCough;Fever;,022253000025064002022253000404640003049727002011833005123979008386661006
49,DryCough;Fatigue;Fever;Dyspnea;,049727002011833005105721009084229001123979008386661006230145002267036007
50,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
51,DryCough;Fatigue;Fever;ConjunctivalHyperemia;,049727002011833005105721009084229001123979008386661006246875002193894004
52,Headache;DryCough;Fatigue;Fever;Chill;SputumProduction;,022253000025064002049727002011833005105721009084229001123979008386661006248456009043724002404684003248599002
53,DryCough;Fever;,049727002011833005123979008386661006
54,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
55,Headache;Myalgia;DryCough;Fatigue;Fever;Dyspnea;SoreThroat;,022253000025064002022253000404640003049727002011833005105721009084229001123979008386661006230145002267036007301365009162397003
56,DryCough;Fever;,049727002011833005123979008386661006
57,DryCough;Fatigue;Fever;Nausea;,049727002011833005105721009084229001123979008386661006386617003422587007
58,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
59,Fatigue;Fever;,105721009084229001123979008386661006
60,Myalgia;DryCough;Fever;Dyspnea;,022253000404640003049727002011833005123979008386661006230145002267036007
61,Fever;,123979008386661006
62,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
63,Myalgia;Fatigue;Fever;Dyspnea;SputumProduction;,022253000404640003105721009084229001123979008386661006230145002267036007404684003248599002
64,Headache;DryCough;Fever;Chill;SputumProduction;,022253000025064002049727002011833005123979008386661006248456009043724002404684003248599002
65,DryCough;Fever;,049727002011833005123979008386661006
66,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
67,Myalgia;Fever;SputumProduction;,022253000404640003123979008386661006404684003248599002
68,DryCough;Fatigue;,049727002011833005105721009084229001
69,Myalgia;DryCough;Fatigue;Fever;,022253000404640003049727002011833005105721009084229001123979008386661006
70,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
71,DryCough;Fatigue;,049727002011833005105721009084229001
72,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
73,Fatigue;Fever;SoreThroat;SputumProduction;,105721009084229001123979008386661006301365009162397003404684003248599002
74,DryCough;Fatigue;Nausea;,049727002011833005105721009084229001386617003422587007
75,Fatigue;Fever;,105721009084229001123979008386661006
76,Headache;Fever;,022253000025064002123979008386661006
77,Headache;Fever;SputumProduction;,022253000025064002123979008386661006404684003248599002
78,Fatigue;Fever;SoreThroat;,105721009084229001123979008386661006301365009162397003
79,Hemoptysis;DryCough;Fatigue;Dyspnea;SputumProduction;,022253000066857006049727002011833005105721009084229001230145002267036007404684003248599002
80,Fever;Chill;Vomiting;,123979008386661006248456009043724002300359004422400008
81,Myalgia;Fever;SputumProduction;,022253000404640003123979008386661006404684003248599002
82,Fever;,123979008386661006
83,Headache;Fatigue;Fever;,022253000025064002105721009084229001123979008386661006
84,DryCough;Fever;,049727002011833005123979008386661006
85,Fatigue;Fever;Vomiting;SputumProduction;,105721009084229001123979008386661006300359004422400008404684003248599002
86,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
87,DryCough;Fatigue;Fever;Vomiting;SoreThroat;SputumProduction;,049727002011833005105721009084229001123979008386661006300359004422400008301365009162397003404684003248599002
88,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
89,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
90,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
91,Fever;Dyspnea;,123979008386661006230145002267036007
92,DryCough;Fatigue;Fever;Dyspnea;SputumProduction;,049727002011833005105721009084229001123979008386661006230145002267036007404684003248599002
93,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
94,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
95,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
96,Headache;DryCough;Fever;SputumProduction;,022253000025064002049727002011833005123979008386661006404684003248599002
97,DryCough;ConjunctivalHyperemia;SoreThroat;,049727002011833005246875002193894004301365009162397003
98,DryCough;Fever;,049727002011833005123979008386661006
99,Headache;DryCough;Fatigue;Fever;,022253000025064002049727002011833005105721009084229001123979008386661006
100,DryCough;Fever;,049727002011833005123979008386661006
101,Fever;SputumProduction;,123979008386661006404684003248599002
102,Fever;,123979008386661006
103,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
104,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
105,Headache;Fatigue;Fever;SoreThroat;SputumProduction;,022253000025064002105721009084229001123979008386661006301365009162397003404684003248599002
106,Headache;Fever;,022253000025064002123979008386661006
107,DryCough;Fatigue;Fever;Diarrhea;,049727002011833005105721009084229001123979008386661006300373008062315008
108,Fever;,123979008386661006
109,DryCough;Fever;SoreThroat;,049727002011833005123979008386661006301365009162397003
110,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
111,Fatigue;Fever;Dyspnea;,105721009084229001123979008386661006230145002267036007
112,Headache;DryCough;Fatigue;Fever;,022253000025064002049727002011833005105721009084229001123979008386661006
113,DryCough;,049727002011833005
114,DryCough;Fatigue;Fever;Chill;SoreThroat;SputumProduction;,049727002011833005105721009084229001123979008386661006248456009043724002301365009162397003404684003248599002
115,DryCough;Fever;,049727002011833005123979008386661006
116,Headache;Myalgia;DryCough;Fever;SoreThroat;,022253000025064002022253000404640003049727002011833005123979008386661006301365009162397003
117,Myalgia;DryCough;Fever;SputumProduction;,022253000404640003049727002011833005123979008386661006404684003248599002
118,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
119,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
120,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
121,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
122,Myalgia;DryCough;Fever;Dyspnea;,022253000404640003049727002011833005123979008386661006230145002267036007
123,Headache;Fever;,022253000025064002123979008386661006
124,DryCough;Fatigue;Chill;,049727002011833005105721009084229001248456009043724002
125,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
126,Fever;,123979008386661006
127,Headache;DryCough;Fatigue;Fever;,022253000025064002049727002011833005105721009084229001123979008386661006
128,Headache;DryCough;Fatigue;Fever;Dyspnea;Chill;Nausea;,022253000025064002049727002011833005105721009084229001123979008386661006230145002267036007248456009043724002386617003422587007
129,Headache;Fever;SputumProduction;,022253000025064002123979008386661006404684003248599002
130,Myalgia;Fever;SoreThroat;,022253000404640003123979008386661006301365009162397003
131,Myalgia;Fatigue;Fever;,022253000404640003105721009084229001123979008386661006
132,Myalgia;Dyspnea;Chill;,022253000404640003230145002267036007248456009043724002
133,Fatigue;,105721009084229001
134,Myalgia;DryCough;Fever;Dyspnea;SoreThroat;,022253000404640003049727002011833005123979008386661006230145002267036007301365009162397003
135,DryCough;Fever;,049727002011833005123979008386661006
136,Fatigue;Fever;Dyspnea;Chill;,105721009084229001123979008386661006230145002267036007248456009043724002
137,DryCough;Fever;Dyspnea;SoreThroat;,049727002011833005123979008386661006230145002267036007301365009162397003
138,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
139,Headache;Fever;Dyspnea;Chill;,022253000025064002123979008386661006230145002267036007248456009043724002
140,DryCough;Fever;Vomiting;,049727002011833005123979008386661006300359004422400008
141,Fever;Dyspnea;SputumProduction;,123979008386661006230145002267036007404684003248599002
142,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
143,DryCough;Fatigue;SoreThroat;,049727002011833005105721009084229001301365009162397003
144,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
145,DryCough;Fatigue;Fever;Dyspnea;SoreThroat;,049727002011833005105721009084229001123979008386661006230145002267036007301365009162397003
146,Myalgia;DryCough;Fever;Chill;SputumProduction;,022253000404640003049727002011833005123979008386661006248456009043724002404684003248599002
147,Fever;Dyspnea;,123979008386661006230145002267036007
148,Fever;,123979008386661006
149,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
150,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
151,Fatigue;Fever;,105721009084229001123979008386661006
152,DryCough;Fatigue;Dyspnea;Vomiting;,049727002011833005105721009084229001230145002267036007300359004422400008
153,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
154,DryCough;Fever;Dyspnea;SputumProduction;,049727002011833005123979008386661006230145002267036007404684003248599002
155,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
156,DryCough;Fever;Nausea;SputumProduction;,049727002011833005123979008386661006386617003422587007404684003248599002
157,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
158,DryCough;Fever;,049727002011833005123979008386661006
159,DryCough;Fever;Nausea;SputumProduction;,049727002011833005123979008386661006386617003422587007404684003248599002
160,Fever;,123979008386661006
161,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
162,Fever;,123979008386661006
163,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
164,Myalgia;DryCough;Fatigue;Fever;,022253000404640003049727002011833005105721009084229001123979008386661006
165,Fever;SoreThroat;,123979008386661006301365009162397003
166,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
167,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
168,DryCough;Fever;Nausea;,049727002011833005123979008386661006386617003422587007
169,DryCough;Fever;Dyspnea;Vomiting;SputumProduction;,049727002011833005123979008386661006230145002267036007300359004422400008404684003248599002
170,Fever;Vomiting;SputumProduction;,123979008386661006300359004422400008404684003248599002
171,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
172,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
173,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
174,DryCough;Fatigue;Fever;Dyspnea;,049727002011833005105721009084229001123979008386661006230145002267036007
175,DryCough;Fatigue;Fever;Dyspnea;SoreThroat;,049727002011833005105721009084229001123979008386661006230145002267036007301365009162397003
176,DryCough;Fever;Dyspnea;SputumProduction;,049727002011833005123979008386661006230145002267036007404684003248599002
177,Fever;Vomiting;SputumProduction;,123979008386661006300359004422400008404684003248599002
178,DryCough;Fever;,049727002011833005123979008386661006
179,DryCough;Fever;SoreThroat;SputumProduction;,049727002011833005123979008386661006301365009162397003404684003248599002
180,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
181,DryCough;Fever;,049727002011833005123979008386661006
182,Headache;DryCough;Fatigue;Fever;SputumProduction;,022253000025064002049727002011833005105721009084229001123979008386661006404684003248599002
183,Headache;DryCough;Fever;Vomiting;,022253000025064002049727002011833005123979008386661006300359004422400008
184,DryCough;Chill;Diarrhea;,049727002011833005248456009043724002300373008062315008
185,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
186,Headache;DryCough;Fatigue;Fever;Chill;SputumProduction;,022253000025064002049727002011833005105721009084229001123979008386661006248456009043724002404684003248599002
187,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
188,DryCough;Fever;,049727002011833005123979008386661006
189,Headache;Myalgia;Fatigue;Fever;SputumProduction;,022253000025064002022253000404640003105721009084229001123979008386661006404684003248599002
190,Headache;Fever;Dyspnea;,022253000025064002123979008386661006230145002267036007
191,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
192,DryCough;Fever;,049727002011833005123979008386661006
193,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
194,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
195,SputumProduction;,404684003248599002
196,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
197,Headache;Fever;Dyspnea;SoreThroat;SputumProduction;,022253000025064002123979008386661006230145002267036007301365009162397003404684003248599002
198,Dyspnea;SputumProduction;,230145002267036007404684003248599002
199,Myalgia;DryCough;Fatigue;Fever;Chill;SputumProduction;,022253000404640003049727002011833005105721009084229001123979008386661006248456009043724002404684003248599002
200,Headache;DryCough;Fatigue;Fever;SoreThroat;SputumProduction;,022253000025064002049727002011833005105721009084229001123979008386661006301365009162397003404684003248599002
201,DryCough;Fever;Dyspnea;Diarrhea;,049727002011833005123979008386661006230145002267036007300373008062315008
202,Headache;DryCough;Fever;Nausea;,022253000025064002049727002011833005123979008386661006386617003422587007
203,Headache;Myalgia;DryCough;Fatigue;Fever;,022253000025064002022253000404640003049727002011833005105721009084229001123979008386661006
204,Fever;Vomiting;,123979008386661006300359004422400008
205,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
206,Headache;Fatigue;Fever;Dyspnea;SputumProduction;,022253000025064002105721009084229001123979008386661006230145002267036007404684003248599002
207,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
208,DryCough;,049727002011833005
209,Fatigue;SputumProduction;,105721009084229001404684003248599002
210,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
211,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
212,DryCough;Fatigue;Fever;Dyspnea;Chill;ConjunctivalHyperemia;Diarrhea;SoreThroat;SputumProduction;,049727002011833005105721009084229001123979008386661006230145002267036007248456009043724002246875002193894004300373008062315008301365009162397003404684003248599002
213,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
214,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
215,DryCough;Fever;SoreThroat;SputumProduction;,049727002011833005123979008386661006301365009162397003404684003248599002
216,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
217,Headache;DryCough;Fever;SputumProduction;,022253000025064002049727002011833005123979008386661006404684003248599002
218,Fever;Chill;,123979008386661006248456009043724002
219,Headache;Myalgia;DryCough;Fatigue;Fever;SputumProduction;,022253000025064002022253000404640003049727002011833005105721009084229001123979008386661006404684003248599002
220,DryCough;Fever;,049727002011833005123979008386661006
221,DryCough;Fever;,049727002011833005123979008386661006
222,Fever;SoreThroat;,123979008386661006301365009162397003
223,Fever;SputumProduction;,123979008386661006404684003248599002
224,DryCough;Fever;,049727002011833005123979008386661006
225,Myalgia;DryCough;Fatigue;Fever;,022253000404640003049727002011833005105721009084229001123979008386661006
226,DryCough;Fever;Chill;SputumProduction;,049727002011833005123979008386661006248456009043724002404684003248599002
227,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
228,Headache;Myalgia;DryCough;Fatigue;Fever;SoreThroat;,022253000025064002022253000404640003049727002011833005105721009084229001123979008386661006301365009162397003
229,DryCough;Fever;,049727002011833005123979008386661006
230,DryCough;Fever;Vomiting;,049727002011833005123979008386661006300359004422400008
231,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
232,Headache;DryCough;Fatigue;Fever;,022253000025064002049727002011833005105721009084229001123979008386661006
233,DryCough;Fever;Dyspnea;SoreThroat;,049727002011833005123979008386661006230145002267036007301365009162397003
234,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
235,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
236,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
237,Headache;Fatigue;Fever;,022253000025064002105721009084229001123979008386661006
238,DryCough;Fever;SoreThroat;,049727002011833005123979008386661006301365009162397003
239,SoreThroat;,301365009162397003
240,Fatigue;Fever;Dyspnea;Chill;SputumProduction;,105721009084229001123979008386661006230145002267036007248456009043724002404684003248599002
241,Fever;,123979008386661006
242,Myalgia;DryCough;Fever;Dyspnea;,022253000404640003049727002011833005123979008386661006230145002267036007
243,DryCough;Fever;Vomiting;,049727002011833005123979008386661006300359004422400008
244,Myalgia;DryCough;Fever;SputumProduction;,022253000404640003049727002011833005123979008386661006404684003248599002
245,Fatigue;Fever;,105721009084229001123979008386661006
246,DryCough;Fatigue;,049727002011833005105721009084229001
247,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
248,Fever;SputumProduction;,123979008386661006404684003248599002
249,Fatigue;Fever;,105721009084229001123979008386661006
250,Headache;Myalgia;DryCough;Fever;,022253000025064002022253000404640003049727002011833005123979008386661006
251,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
252,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
253,DryCough;Fever;Vomiting;Diarrhea;SoreThroat;SputumProduction;,049727002011833005123979008386661006300359004422400008300373008062315008301365009162397003404684003248599002
254,Myalgia;DryCough;SputumProduction;,022253000404640003049727002011833005404684003248599002
255,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
256,Myalgia;DryCough;Fatigue;Fever;,022253000404640003049727002011833005105721009084229001123979008386661006
257,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
258,Fever;SputumProduction;,123979008386661006404684003248599002
259,Myalgia;Fever;SputumProduction;,022253000404640003123979008386661006404684003248599002
260,Hemoptysis;DryCough;Fever;Vomiting;SputumProduction;,022253000066857006049727002011833005123979008386661006300359004422400008404684003248599002
261,Dyspnea;SputumProduction;,230145002267036007404684003248599002
262,DryCough;Fever;,049727002011833005123979008386661006
263,DryCough;Chill;,049727002011833005248456009043724002
264,DryCough;Fever;Chill;SputumProduction;,049727002011833005123979008386661006248456009043724002404684003248599002
265,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
266,Myalgia;DryCough;Fever;SputumProduction;,022253000404640003049727002011833005123979008386661006404684003248599002
267,DryCough;Fever;,049727002011833005123979008386661006
268,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
269,Fever;Dyspnea;,123979008386661006230145002267036007
270,DryCough;Fever;Dyspnea;Chill;,049727002011833005123979008386661006230145002267036007248456009043724002
271,Headache;DryCough;Fever;,022253000025064002049727002011833005123979008386661006
272,Fever;Diarrhea;,123979008386661006300373008062315008
273,DryCough;Fatigue;Fever;Diarrhea;SoreThroat;SputumProduction;,049727002011833005105721009084229001123979008386661006300373008062315008301365009162397003404684003248599002
274,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
275,DryCough;Fever;,049727002011833005123979008386661006
276,Myalgia;DryCough;Fever;SoreThroat;SputumProduction;,022253000404640003049727002011833005123979008386661006301365009162397003404684003248599002
277,Fatigue;Fever;,105721009084229001123979008386661006
278,Hemoptysis;Nausea;SputumProduction;,022253000066857006386617003422587007404684003248599002
279,Fever;Dyspnea;,123979008386661006230145002267036007
280,DryCough;Fever;,049727002011833005123979008386661006
281,Fever;Diarrhea;,123979008386661006300373008062315008
282,Fatigue;SoreThroat;SputumProduction;,105721009084229001301365009162397003404684003248599002
283,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
284,Fever;Dyspnea;,123979008386661006230145002267036007
285,DryCough;Fever;,049727002011833005123979008386661006
286,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
287,DryCough;Fever;Nausea;SputumProduction;,049727002011833005123979008386661006386617003422587007404684003248599002
288,DryCough;Fatigue;Fever;Dyspnea;SputumProduction;,049727002011833005105721009084229001123979008386661006230145002267036007404684003248599002
289,Headache;Myalgia;Fever;Dyspnea;,022253000025064002022253000404640003123979008386661006230145002267036007
290,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
291,Headache;Fever;Dyspnea;SoreThroat;,022253000025064002123979008386661006230145002267036007301365009162397003
292,DryCough;Fatigue;Fever;Chill;,049727002011833005105721009084229001123979008386661006248456009043724002
293,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
294,Headache;DryCough;Fever;SoreThroat;,022253000025064002049727002011833005123979008386661006301365009162397003
295,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
296,Headache;DryCough;Fever;SputumProduction;,022253000025064002049727002011833005123979008386661006404684003248599002
297,Fever;Diarrhea;,123979008386661006300373008062315008
298,DryCough;Fever;Dyspnea;SputumProduction;,049727002011833005123979008386661006230145002267036007404684003248599002
299,Fever;,123979008386661006
300,DryCough;Fever;,049727002011833005123979008386661006
301,Myalgia;Fever;,022253000404640003123979008386661006
302,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
303,DryCough;Vomiting;,049727002011833005300359004422400008
304,DryCough;Fatigue;Fever;Chill;,049727002011833005105721009084229001123979008386661006248456009043724002
305,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
306,Fatigue;Fever;Nausea;,105721009084229001123979008386661006386617003422587007
307,Fatigue;Fever;SoreThroat;,105721009084229001123979008386661006301365009162397003
308,DryCough;Fatigue;Fever;Dyspnea;,049727002011833005105721009084229001123979008386661006230145002267036007
309,Headache;DryCough;Fever;Vomiting;SputumProduction;,022253000025064002049727002011833005123979008386661006300359004422400008404684003248599002
310,DryCough;Fever;Dyspnea;Vomiting;,049727002011833005123979008386661006230145002267036007300359004422400008
311,DryCough;Fever;,049727002011833005123979008386661006
312,Myalgia;Fever;Chill;SputumProduction;,022253000404640003123979008386661006248456009043724002404684003248599002
313,Fatigue;Fever;,105721009084229001123979008386661006
314,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
315,Headache;DryCough;Fatigue;Fever;Dyspnea;Chill;SputumProduction;,022253000025064002049727002011833005105721009084229001123979008386661006230145002267036007248456009043724002404684003248599002
316,DryCough;Fever;,049727002011833005123979008386661006
317,DryCough;Fatigue;Fever;SputumProduction;,049727002011833005105721009084229001123979008386661006404684003248599002
318,Fever;Vomiting;SputumProduction;,123979008386661006300359004422400008404684003248599002
319,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
320,Fever;,123979008386661006
321,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
322,DryCough;Fatigue;Fever;Chill;,049727002011833005105721009084229001123979008386661006248456009043724002
323,DryCough;Fever;,049727002011833005123979008386661006
324,DryCough;Fatigue;,049727002011833005105721009084229001
325,DryCough;Fatigue;,049727002011833005105721009084229001
326,DryCough;Fever;Chill;,049727002011833005123979008386661006248456009043724002
327,Fever;,123979008386661006
328,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
329,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
330,DryCough;Fever;SoreThroat;SputumProduction;,049727002011833005123979008386661006301365009162397003404684003248599002
331,Fatigue;Fever;Nausea;,105721009084229001123979008386661006386617003422587007
332,DryCough;Dyspnea;,049727002011833005230145002267036007
333,Chill;SputumProduction;,248456009043724002404684003248599002
334,Fever;Chill;Nausea;,123979008386661006248456009043724002386617003422587007
335,Myalgia;DryCough;Fatigue;Fever;SoreThroat;SputumProduction;,022253000404640003049727002011833005105721009084229001123979008386661006301365009162397003404684003248599002
336,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
337,Headache;Myalgia;Fever;Chill;SoreThroat;SputumProduction;,022253000025064002022253000404640003123979008386661006248456009043724002301365009162397003404684003248599002
338,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
339,Headache;DryCough;Fatigue;Diarrhea;,022253000025064002049727002011833005105721009084229001300373008062315008
340,DryCough;Dyspnea;SputumProduction;,049727002011833005230145002267036007404684003248599002
341,Myalgia;DryCough;Fatigue;Nausea;SputumProduction;,022253000404640003049727002011833005105721009084229001386617003422587007404684003248599002
342,DryCough;Fever;Dyspnea;SputumProduction;,049727002011833005123979008386661006230145002267036007404684003248599002
343,Fever;Vomiting;SoreThroat;SputumProduction;,123979008386661006300359004422400008301365009162397003404684003248599002
344,DryCough;Fever;Nausea;,049727002011833005123979008386661006386617003422587007
